date,category,menu,quantity,total price,payment,mode,unit_price
2024-05-24,Others,Siomai,2,20,Cash,Physical,10.0
2024-05-24,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-05-24,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-24,Sandwich,Cheeseburgerr With Egg,2,84,Cash,Physical,42.0
2024-05-24,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-24,Shake,Special Mango Shake With Boba (S),4,280,Cash,Physical,70.0
2024-05-24,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-05-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-24,Shake,Smoothie (S),2,120,Gcash,Physical,60.0
2024-05-24,Shake,Mango Graham Shake (L),4,420,Cash,Physical,105.0
2024-05-24,Shake,Smoothie (M),3,240,Gcash,Physical,80.0
2024-05-24,Shake,Smoothie (M),1,80,Gcash,Physical,80.0
2024-05-24,Shake,Mango Shake (L),4,360,Cash,Physical,90.0
2024-05-24,Shake,Smoothie (L),5,500,Cash,Physical,100.0
2024-05-24,Sandwich,Cheeseburgerr + Coleslaw,1,32,Cash,Delivered,32.0
2024-05-24,Others,Popcorn,1,10,Cash,Physical,10.0
2024-05-24,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-24,Sandwich,Egg Sandwich + Coleslaw,1,30,Cash,Physical,30.0
2024-05-24,Sandwich,Burgerr + Coleslaw,1,25,Cash,Physical,25.0
2024-05-24,Sandwich,Cheeseburgerr With Egg + Coleslaw,1,47,Cash,Physical,47.0
2024-05-24,Shake,Avocado Shake (S),4,200,Cash,Physical,50.0
2024-05-24,Others,Cheese Stick,1,2,Gcash,Physical,2.0
2024-05-24,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-05-24,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-24,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-24,Sandwich,Burgerr With Ham + Coleslaw,4,160,Cash,Physical,40.0
2024-05-24,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-05-24,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-24,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-25,Others,French Fries,1,25,Cash,Physical,25.0
2024-05-25,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-25,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-25,Shake,Special Mango Shake With Boba (L),2,220,Cash,Physical,110.0
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-25,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-05-25,Shake,Mango Graham Shake (L),3,315,Cash,Physical,105.0
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-25,Sandwich,Burgerr,1,20,Cash,Delivered,20.0
2024-05-25,Shake,Mango Shake (S),1,50,Gcash,Physical,50.0
2024-05-25,Sandwich,Burgerr,3,60,Cash,Physical,20.0
2024-05-25,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-05-25,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-25,Shake,Smoothie (M),2,160,Cash,Physical,80.0
2024-05-25,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-25,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-25,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-25,Shake,Avocado Shake (L),4,360,Cash,Physical,90.0
2024-05-25,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical,70.0
2024-05-25,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-25,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-05-25,Shake,Mango Graham Shake (S),2,130,Gcash,Physical,65.0
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Gcash,Physical,32.0
2024-05-25,Sandwich,Ham Sandwich With Egg + Coleslaw,4,180,Cash,Physical,45.0
2024-05-25,Shake,Avocado Shake (S),2,100,Gcash,Physical,50.0
2024-05-25,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-25,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-25,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-05-25,Others,Popcorn,1,10,Cash,Physical,10.0
2024-05-25,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-05-25,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-25,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-25,Sandwich,Cheeseburgerr + Coleslaw,1,32,Cash,Physical,32.0
2024-05-25,Shake,Special Mango Shake With Boba (M),5,450,Gcash,Physical,90.0
2024-05-25,Shake,Mango Graham Shake (M),5,425,Cash,Physical,85.0
2024-05-25,Sandwich,Burgerr With Ham,1,35,Cash,Delivered,35.0
2024-05-25,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-25,Sandwich,Ham Sandwich,2,54,Gcash,Physical,27.0
2024-05-26,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical,70.0
2024-05-26,Others,Strawberry And Cream Cheese (M),1,85,Gcash,Physical,85.0
2024-05-26,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-05-26,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Delivered,70.0
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-26,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical,105.0
2024-05-26,Shake,Smoothie (M),5,400,Cash,Physical,80.0
2024-05-26,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-05-26,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-05-26,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-05-26,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical,105.0
2024-05-26,Others,Popcorn,1,10,Cash,Physical,10.0
2024-05-26,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-26,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
