date,category,menu,quantity,total price,payment,mode
2024-05-24,Others,Siomai,2,20,Cash,Physical
2024-05-24,Sandwich,Egg Sandwich + Coleslaw,1,30,Cash,Physical
2024-05-24,Sandwich,Burger + Coleslaw,1,25,Cash,Physical
2024-05-24,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical
2024-05-24,Sandwich,Cheeseburger With Egg + Coleslaw,1,47,Cash,Physical
2024-05-24,Shake,Avocado Shake (S),4,200,Cash,Physical
2024-05-24,Others,Cheese Stick,1,2,Gcash,Physical
2024-05-24,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-24,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-24,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-24,Sandwich,Burger With Ham + Coleslaw,4,160,Cash,Physical
2024-05-24,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-05-24,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-24,Others,Popcorn,1,10,Cash,Physical
2024-05-24,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-24,Shake,Smoothie (L),5,500,Cash,Physical
2024-05-24,Shake,Mango Shake (L),4,360,Cash,Physical
2024-05-24,Shake,Smoothie (M),1,80,Gcash,Physical
2024-05-24,Shake,Smoothie (M),3,240,Gcash,Physical
2024-05-24,Shake,Mango Graham Shake (L),4,420,Cash,Physical
2024-05-24,Shake,Smoothie (S),2,120,Gcash,Physical
2024-05-24,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-24,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical
2024-05-24,Shake,Special Mango Shake With Boba (S),4,280,Cash,Physical
2024-05-24,Sandwich,Cheeseburger + Coleslaw,1,32,Cash,Delivered
2024-05-24,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-24,Sandwich,Cheeseburger With Egg,2,84,Cash,Physical
2024-05-24,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-24,Shake,Mango Graham Shake (S),1,65,Cash,Physical
2024-05-25,Shake,Mango Graham Shake (S),2,130,Gcash,Physical
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Gcash,Physical
2024-05-25,Sandwich,Ham Sandwich With Egg + Coleslaw,4,180,Cash,Physical
2024-05-25,Shake,Avocado Shake (S),2,100,Gcash,Physical
2024-05-25,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-25,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Cash,Physical
2024-05-25,Sandwich,Burger,1,20,Cash,Physical
2024-05-25,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-05-25,Others,Popcorn,1,10,Cash,Physical
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
